"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4848","Place the order","","2026-08-08","passed","2026-08-08","","NetworkTest.spec.js","",""
"","7438","Child Window Playwright Test","","2026-08-08","passed","2026-08-08","","UIBasicstest.spec.js","",""
"","20843","Security test request intercept","","2026-08-08","passed","2026-08-08","","NetworkTest2.spec.js","",""
"","12103","Client App E2E testing for:iphone 13 pro","","2026-08-08","passed","2026-08-08","","ClientAppPO.spec.js","",""
"","15871","Test 2 - Group ticket booking is NOT eligible for refund","","2026-08-08","passed","2026-08-08","","EventhubTest2.spec.js","",""
"","1982","First Playwright Test","","2026-08-08","passed","2026-08-08","","UIBasicstest.spec.js","",""
"","9786","@Web Test 1 - Single ticket booking is eligible for refund","","2026-08-08","passed","2026-08-08","","WebAPIPart2.spec.js","",""
"","5439","Upload download excel validation","","2026-08-08","passed","2026-08-08","","Upload-download.spec.js","",""
"","5008","@API Place the order","","2026-08-08","passed","2026-08-08","","WebAPIPart1.spec.js","",""
"","9336","Cross User Booking Testing","","2026-08-08","passed","2026-08-08","","CrossUserBookingTest.spec.js","",""
"","7216","Test 1 — Banner IS visible when 6 events are returned","","2026-08-08","passed","2026-08-08","","EventHubBanner.spec.js","",""
"","13550","Login Test","","2026-08-08","passed","2026-08-08","","EventhubTest.spec.js","",""
"","10833","@Web Browser Context Playwright Test","","2026-08-08","passed","2026-08-08","","UIBasicstest.spec.js","",""
"","5167","UI Controls Playwright Test","","2026-08-08","passed","2026-08-08","","UIBasicstest.spec.js","",""
"","6563","Test 2 — Banner is NOT visible when 4 events are returned","","2026-08-08","passed","2026-08-08","","EventHubBanner.spec.js","",""
"","11225","@Web Seat booking","","2026-08-08","passed","2026-08-08","","WebAPIPart2.spec.js","",""
"","14385","Test 1 - Single ticket booking is eligible for refund","","2026-08-08","passed","2026-08-08","","EventhubTest2.spec.js","",""
"","6193","Calendar validations","","2026-08-08","passed","2026-08-08","","Calendar.spec.js","",""
"","13314","Client App E2E testing for:ZARA COAT 3","","2026-08-08","passed","2026-08-08","","ClientAppPO.spec.js","",""
"","7608","Popup validations","","2026-08-08","passed","2026-08-08","","MoreValidations.spec.js","",""
"","3556","visual test","","2026-08-08","failed","2026-08-08","","MoreValidations.spec.js","",""
"","10145","Practice Test","","2026-08-08","passed","2026-08-08","","PracticeTest.spec.js","",""
"","6725","Screenshot","","2026-08-08","passed","2026-08-08","","MoreValidations.spec.js","",""
"","8245","@Web Client App E2E testing using fixers","","2026-08-08","passed","2026-08-08","","ClientAppPO.spec.js","",""
"","11444","@Web Test 2 - Group ticket booking is NOT eligible for refund","","2026-08-08","passed","2026-08-08","","WebAPIPart2.spec.js","",""
"","3824","Playwright special locators","","2026-08-08","passed","2026-08-08","","llc.spec.js","",""
