"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41532","Security test request intercept","","2026-08-19","passed","2026-08-19","","NetworkTest2.spec.js","",""
"","12546","@Web Client App E2E testing using fixers","","2026-08-19","passed","2026-08-19","","ClientAppPO.spec.js","",""
"","5424","Place the order","","2026-08-19","passed","2026-08-19","","NetworkTest.spec.js","",""
"","0","@Web Test 1 - Single ticket booking is eligible for refund","","2026-08-19","skipped","2026-08-19","","WebAPIPart2.spec.js","",""
"","7673","UI Controls Playwright Test","","2026-08-19","passed","2026-08-19","","UIBasicstest.spec.js","",""
"","2396","Cross User Booking Testing","","2026-08-19","failed","2026-08-19","","CrossUserBookingTest.spec.js","",""
"","8353","Test 1 — Banner IS visible when 6 events are returned","","2026-08-19","passed","2026-08-19","","EventHubBanner.spec.js","",""
"","16504","Test 1 - Single ticket booking is eligible for refund","","2026-08-19","passed","2026-08-19","","EventhubTest2.spec.js","",""
"","11748","Practice Test","","2026-08-19","passed","2026-08-19","","PracticeTest.spec.js","",""
"","8533","Test 2 — Banner is NOT visible when 4 events are returned","","2026-08-19","passed","2026-08-19","","EventHubBanner.spec.js","",""
"","1","@Web Test 2 - Group ticket booking is NOT eligible for refund","","2026-08-19","skipped","2026-08-19","","WebAPIPart2.spec.js","",""
"","4954","@API Place the order","","2026-08-19","passed","2026-08-19","","WebAPIPart1.spec.js","",""
"","42220","Client App E2E testing for:ZARA COAT 3","","2026-08-19","broken","2026-08-19","","ClientAppPO.spec.js","",""
"","9678","Popup validations","","2026-08-19","passed","2026-08-19","","MoreValidations.spec.js","",""
"","13443","@Web Browser Context Playwright Test","","2026-08-19","passed","2026-08-19","","UIBasicstest.spec.js","",""
"","15575","Login Test","","2026-08-19","passed","2026-08-19","","EventhubTest.spec.js","",""
"","43177","Client App E2E testing for:iphone 13 pro","","2026-08-19","broken","2026-08-19","","ClientAppPO.spec.js","",""
"","5854","Playwright special locators","","2026-08-19","passed","2026-08-19","","llc.spec.js","",""
"","8836","Child Window Playwright Test","","2026-08-19","passed","2026-08-19","","UIBasicstest.spec.js","",""
"","2349","visual test","","2026-08-19","failed","2026-08-19","","MoreValidations.spec.js","",""
"","6035","@Web Seat booking","","2026-08-19","failed","2026-08-19","","WebAPIPart2.spec.js","",""
"","5246","Upload download excel validation","","2026-08-19","passed","2026-08-19","","Upload-download.spec.js","",""
"","15837","Test 2 - Group ticket booking is NOT eligible for refund","","2026-08-19","passed","2026-08-19","","EventhubTest2.spec.js","",""
"","6690","Screenshot","","2026-08-19","passed","2026-08-19","","MoreValidations.spec.js","",""
"","5958","Calendar validations","","2026-08-19","passed","2026-08-19","","Calendar.spec.js","",""
"","4137","First Playwright Test","","2026-08-19","passed","2026-08-19","","UIBasicstest.spec.js","",""
